horizon,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std
all,0.6171087533156497,0.0772533611760735,0.4461146797607173,0.07008838056758887,0.5003155897333467,0.06844274176425443
≤12mo,0.55495670995671,0.055470166617464345,0.5225135811320134,0.10724614408276012,0.40890269151138714,0.06855003366933045
≤3mo,0.575,0.21213203435596428,0.6557936507936508,0.18021877932534322,0.45396825396825397,0.16556704521149582
≤6mo,0.5533080808080808,0.1508219728627579,0.5234663729516671,0.13367434092829417,0.49339869281045745,0.19074449828265416
